,TV,Radio,Newspaper,Sales,TV_sales,Radio_sales,Newspaper_sales
57,136.2,19.2,16.6,13.2,13.2,13.2,13.2
58,210.8,49.6,37.7,23.8,23.8,23.8,19.9
59,210.7,29.5,9.3,18.4,18.4,18.4,13.966666666666667
60,53.5,2.0,21.4,8.1,8.1,8.1,13.95
61,261.3,42.7,54.7,24.2,24.2,24.2,24.2
62,239.3,15.5,27.3,20.7,20.7,20.7,20.7
63,102.7,29.6,8.4,14.0,14.0,14.0,14.0
64,131.1,42.8,28.9,16.0,16.0,16.0,16.0
65,69.0,9.3,0.9,11.3,11.3,13.05,11.3
66,31.5,24.6,2.2,11.0,11.0,14.0,11.0
67,139.3,14.5,10.2,13.4,13.4,13.4,13.4
68,237.4,27.5,11.0,18.9,18.2,15.45,18.9
69,216.8,43.9,27.2,22.3,22.3,21.5,22.3
70,199.1,30.6,38.7,18.3,18.3,18.3,17.700000000000003
71,109.8,14.3,31.7,12.4,14.55,12.3,12.4
72,26.8,33.0,19.3,8.8,8.8,8.8,8.8
73,129.4,5.7,31.3,11.0,11.0,10.033333333333333,11.0
74,213.4,24.6,13.1,17.0,17.0,14.0,16.75
75,16.9,43.7,89.4,8.7,8.7,8.7,8.7
76,27.5,1.6,20.7,6.9,6.9,6.9,6.9
77,120.5,28.5,14.2,14.2,14.2,14.2,15.4
78,5.4,29.9,9.4,5.3,5.3,5.3,5.3
79,116.0,7.7,23.1,11.0,11.0,11.0,11.0
80,76.4,26.7,22.3,11.8,10.600000000000001,10.95,9.2
81,239.8,4.1,36.9,17.3,17.3,13.666666666666666,17.3
82,75.3,20.3,32.5,11.3,11.3,11.3,11.3
83,68.4,44.5,35.6,13.6,13.6,13.6,13.6
84,213.5,43.0,33.8,21.7,21.7,23.95,21.7
85,193.2,18.4,65.7,20.2,20.2,16.55,20.2
86,76.3,27.5,16.0,12.0,12.0,15.45,12.0
87,110.7,40.6,63.2,16.0,16.0,16.0,16.0
88,88.3,25.5,73.4,12.9,12.9,12.9,12.9
89,109.8,47.8,51.4,16.7,14.55,16.7,16.7
90,134.3,4.9,9.3,14.0,14.0,14.0,13.966666666666667
91,28.6,1.5,33.0,7.3,7.3,10.25,7.3
92,217.7,33.5,59.0,19.4,19.4,19.5,17.2
93,250.9,36.5,72.3,22.2,22.2,22.2,22.2
94,107.4,14.0,10.9,11.5,11.5,11.5,11.5
95,163.3,31.6,52.9,16.9,16.9,16.9,19.65
96,197.6,3.5,5.9,16.7,16.65,16.85,16.7
97,184.9,21.0,22.0,20.5,20.6,20.5,20.5
98,289.7,42.3,51.2,25.4,25.4,25.4,25.4
99,135.2,41.7,45.9,17.2,17.2,19.9,17.2
100,222.4,4.3,49.8,16.7,16.6,16.7,16.7
101,296.4,36.3,100.9,23.8,23.8,23.8,23.8
102,280.2,10.1,21.4,19.8,19.8,19.8,13.95
103,187.9,17.2,17.9,19.7,19.7,19.7,19.7
104,238.2,34.3,5.3,20.7,20.7,20.7,20.7
105,137.9,46.4,59.0,15.0,15.0,15.0,17.2
106,25.0,11.0,29.7,7.2,7.2,7.2,7.949999999999999
107,90.4,0.3,23.2,12.0,12.0,12.0,16.9
108,13.1,0.4,25.6,5.3,5.3,5.3,12.466666666666667
109,255.4,26.9,5.5,19.8,19.8,19.8,19.8
110,225.8,8.2,56.5,18.4,18.4,18.4,18.4
111,241.7,38.0,23.2,21.8,21.8,21.8,16.9
112,175.7,15.4,2.4,17.1,17.1,17.1,17.1
113,209.6,20.6,10.7,20.9,20.9,20.9,20.9
114,78.2,46.8,34.5,14.6,14.6,14.6,14.6
115,75.1,35.0,52.7,12.6,12.6,12.6,12.6
116,139.2,14.3,25.6,12.2,12.2,12.3,12.466666666666667
117,76.4,0.8,14.8,9.4,10.600000000000001,9.4,9.4
118,125.7,36.9,79.2,15.9,15.9,11.6,15.9
119,19.4,16.0,22.3,6.6,6.6,8.55,9.2
120,141.3,26.8,46.2,15.5,15.5,15.5,15.5
121,18.8,21.7,50.4,7.0,7.0,7.0,7.0
122,224.0,2.4,15.6,16.6,16.6,16.6,16.6
123,123.1,34.6,12.4,15.2,15.2,15.2,15.2
124,229.5,32.3,74.2,19.7,19.7,19.7,19.7
125,87.2,11.8,25.9,10.6,10.6,10.6,10.6
126,7.8,38.9,50.6,6.6,6.6,6.6,6.6
127,80.2,0.0,9.2,11.9,11.9,11.9,11.9
128,220.3,49.0,3.2,24.7,24.7,25.049999999999997,24.7
129,59.6,12.0,43.1,9.7,9.7,9.7,9.7
130,0.7,39.6,8.7,1.6,1.6,13.0,12.733333333333334
131,265.2,2.9,43.0,17.7,17.7,17.7,17.7
132,8.4,27.2,2.1,5.7,5.7,5.7,5.7
133,219.8,33.5,45.1,19.6,19.6,19.5,15.0
134,36.9,38.6,65.6,10.8,10.8,10.8,10.8
135,48.3,47.0,8.5,11.6,11.6,11.6,14.7
136,25.6,39.0,9.3,9.5,9.5,9.5,13.966666666666667
137,273.7,28.9,59.7,20.8,20.8,20.8,20.8
138,43.0,25.9,20.5,9.6,9.6,9.6,9.6
139,184.9,43.9,1.7,20.7,20.6,21.5,20.7
140,73.4,17.0,12.9,10.9,10.9,10.9,10.9
141,193.7,35.4,75.6,19.2,19.2,19.2,19.2
142,220.5,33.2,37.9,20.1,20.1,20.1,20.1
143,104.6,5.7,34.4,10.4,10.4,10.033333333333333,10.4
144,96.2,14.8,38.9,12.3,12.3,12.3,12.3
145,140.3,1.9,9.0,10.3,10.3,10.3,10.3
146,240.1,7.3,8.7,18.2,19.549999999999997,18.2,12.733333333333334
147,243.2,49.0,44.3,25.4,25.4,25.049999999999997,25.4
148,38.0,40.3,11.9,10.9,10.9,10.9,10.9
149,44.7,25.8,20.6,10.1,10.1,10.1,10.1
150,280.7,13.9,37.0,16.1,16.1,18.5,16.1
151,121.0,8.4,48.7,11.6,11.6,14.75,11.6
152,197.6,23.3,14.2,16.6,16.65,16.6,15.4
153,171.3,39.7,37.7,16.0,16.0,16.0,19.9
154,187.8,21.1,9.5,20.6,20.6,20.6,20.6
155,4.1,11.6,5.7,3.2,3.2,5.800000000000001,3.2
156,93.9,43.5,50.5,15.3,15.3,15.3,15.3
157,149.8,1.3,24.3,10.1,10.1,10.1,10.1
158,11.7,36.9,45.2,7.3,7.3,11.6,7.3
159,131.7,18.4,34.6,12.9,12.9,16.55,14.649999999999999
160,172.5,18.1,30.7,16.4,16.4,18.15,16.4
161,85.7,35.8,49.3,13.3,13.3,13.3,13.3
162,188.4,18.1,25.6,19.9,19.9,18.15,12.466666666666667
163,163.5,36.8,7.4,18.0,18.0,18.0,14.95
164,117.2,14.7,5.4,11.9,11.9,11.9,11.9
165,234.5,3.4,84.8,16.9,16.9,16.7,16.9
166,17.9,37.6,21.6,8.0,8.0,8.0,8.0
167,206.8,5.2,19.4,17.2,17.2,17.2,17.2
168,215.4,23.6,57.6,17.1,17.1,17.1,17.1
169,284.3,10.6,6.4,20.0,20.0,20.0,17.4
170,50.0,11.6,18.4,8.4,8.4,5.800000000000001,8.4
171,164.5,20.9,47.4,17.5,17.5,17.5,17.5
172,19.6,20.1,17.0,7.6,7.6,7.6,7.6
173,168.4,7.1,12.8,16.7,16.7,16.7,16.7
174,222.4,3.4,13.1,16.5,16.6,16.7,16.75
175,276.9,48.9,41.8,27.0,27.0,17.1,27.0
176,248.4,30.2,20.3,20.2,20.2,20.2,20.2
177,170.2,7.8,35.2,16.7,16.7,16.7,16.7
178,276.7,2.3,23.7,16.8,16.8,16.8,16.8
179,165.6,10.0,17.6,17.6,17.6,17.6,17.6
180,156.6,2.6,8.3,15.5,15.5,15.55,15.5
181,218.5,5.4,27.4,17.2,17.2,17.2,17.2
182,56.2,5.7,29.7,8.7,8.7,10.033333333333333,7.949999999999999
183,287.6,43.0,71.8,26.2,26.2,23.95,26.2
184,253.8,21.3,30.0,17.6,17.6,17.6,15.4
185,205.0,45.1,19.6,22.6,22.6,22.6,22.6
186,139.5,2.1,26.6,10.3,10.3,7.550000000000001,10.3
187,191.1,28.7,18.2,17.3,17.3,17.3,17.3
188,286.0,13.9,3.7,20.9,20.9,18.5,20.9
189,18.7,12.1,23.4,6.7,6.7,6.7,6.7
190,39.5,41.1,5.8,10.8,10.8,10.8,10.8
191,75.5,10.8,6.0,11.9,11.9,14.899999999999999,14.600000000000001
192,17.2,4.1,31.6,5.9,8.95,13.666666666666666,11.25
193,166.8,42.0,3.6,19.6,19.6,22.55,15.15
194,149.7,35.6,6.0,17.3,17.3,17.3,14.600000000000001
195,38.2,3.7,13.8,7.6,7.6,7.6,7.6
196,94.2,4.9,8.1,14.0,14.0,14.0,14.0
197,177.0,9.3,6.4,14.8,15.950000000000001,13.05,17.4
198,283.6,42.0,66.2,25.5,25.5,22.55,25.5
199,232.1,8.6,8.7,18.4,18.4,18.4,12.733333333333334
